# Rt Group Reward Records - Total groups: 322
# Initial μ: 1, Initial loss rate: 0.01
# Hybrid loss enabled: 1
frame_id,Rt_value,loss_rate,mu_used,avg_reward,group_delay_ms,packet_count,group_start_time,group_end_time,bandwidth_utilization,p_delay,p_loss,p_mddl
0,2,0.008,1,-0.50936,28,2,0.038,0.066,0.175281,0.1255,0,0
0,1,0.008,1,-0.142248,20,1,0.067,0.087,0.175281,0.124,0,0
0,0,0.008,1,-1.26602,454,27,0.088,0.542,0.15387,0.129889,0,0.368349
1,0,0.00764,1,-1.82917,492,30,0.54,1.032,0.189388,0.13,0,0.966667
2,0,0.00756,1,-1.6903,493,30,1.028,1.521,0.32966,0.13,0,0.966667
3,0,0.0076,1,-1.55369,494,30,1.52,2.014,0.467654,0.13,0,0.966667
4,0,0.0076,1,-1.60062,507,30,2.013,2.52,0.420253,0.13,0,0.966667
5,0,0.0076,1,-1.53595,490,30,2.516,3.006,0.48557,0.13,0,0.966667
6,0,0.0076,1,-1.56002,500,30,3.002,3.502,0.461264,0.13,0,0.966667
7,0,0.0076,1,-1.65659,492,30,3.499,3.991,0.363712,0.13,0,0.966667
8,0,0.00756,1,-1.56115,507,30,3.989,4.496,0.460116,0.13,0,0.966667
9,0,0.008,1,-1.68321,906,30,4.477,5.383,0.336823,0.13,0,0.966667
10,0,0.008,1,-1.80487,940,30,5.396,6.336,0.213939,0.13,0,0.966667
11,0,0.008,1,-1.89055,917,30,6.347,7.264,0.127386,0.13,0,0.966667
12,0,0.008,1,-1.92123,930,30,7.278,8.208,0.0964037,0.13,0,0.966667
13,0,0.008,1,-1.91202,929,30,8.222,9.151,0.105705,0.13,0,0.966667
14,0,0.008,1,-1.82791,934,30,9.166,10.1,0.190661,0.13,0,0.966667
15,0,0.008,1,-1.83629,919,30,10.114,11.033,0.182198,0.13,0,0.966667
16,0,0.008,1,-1.64476,975,30,11.048,12.023,0.375665,0.13,0,0.966667
17,0,0.008,1,-1.69237,1088,30,12.029,13.117,0.327575,0.13,0,0.966667
18,0,0.008,1,-1.78137,1129,30,13.14,14.269,0.237669,0.13,0,0.966667
19,0,0.008,1,-1.89418,1118,30,14.292,15.41,0.123726,0.13,0,0.966667
20,0,0.008,1,-1.91411,1052,30,15.432,16.484,0.103595,0.13,0,0.966667
21,0,0.008,1,-1.92132,1017,30,16.499,17.516,0.0963053,0.13,0,0.966667
22,0,0.008,1,-1.8986,915,30,17.531,18.446,0.119258,0.13,0,0.966667
23,0,0.008,1,-1.9077,929,30,18.458,19.387,0.110066,0.13,0,0.966667
24,0,0.008,1,-1.90006,948,30,19.399,20.347,0.117784,0.13,0,0.966667
25,0,0.008,1,-1.92687,938,30,20.361,21.299,0.0907024,0.13,0,0.966667
26,0,0.008,1,-1.90025,932,30,21.311,22.243,0.117591,0.13,0,0.966667
27,0,0.008,1,-1.91251,992,30,22.258,23.25,0.105208,0.13,0,0.966667
28,0,0.008,1,-1.91743,964,30,23.266,24.23,0.100237,0.13,0,0.966667
29,0,0.008,1,-1.92603,930,30,24.244,25.174,0.0915481,0.13,0,0.966667
30,0,0.008,1,-1.92,948,30,25.188,26.136,0.0976388,0.13,0,0.966667
31,0,0.008,1,-1.87938,956,30,26.149,27.105,0.13867,0.13,0,0.966667
32,0,0.008,1,-1.87767,1021,30,27.086,28.107,0.1404,0.13,0,0.966667
33,0,0.008,1,-1.90847,1041,30,28.124,29.165,0.109291,0.13,0,0.966667
34,0,0.008,1,-1.91579,954,30,29.182,30.136,0.101891,0.13,0,0.966667
35,0,0.008,1,-1.87097,934,30,30.149,31.083,0.147165,0.13,0,0.966667
36,0,0.008,1,-1.89459,904,30,31.096,32,0.123312,0.13,0,0.966667
37,0,0.008,1,-1.94892,905,30,32.014,32.919,0.0684316,0.13,0,0.966667
38,0,0.008,1,-1.95311,942,30,32.932,33.874,0.0642028,0.13,0,0.966667
39,0,0.008,1,-1.86976,959,30,33.887,34.846,0.148389,0.13,0,0.966667
40,0,0.008,1,-1.90358,987,30,34.859,35.846,0.114229,0.13,0,0.966667
41,0,0.008,1,-1.95027,1204,30,35.864,37.068,0.0670708,0.13,0,0.966667
42,0,0.008,1,-1.93852,979,30,37.089,38.068,0.0789408,0.13,0,0.966667
43,0,0.008,1,-1.91685,965,30,38.082,39.047,0.100824,0.13,0,0.966667
44,0,0.008,1,-1.68569,991,30,39.06,40.051,0.334323,0.13,0,0.966667
45,0,0.008,1,-1.92573,960,30,40.067,41.027,0.0918576,0.13,0,0.966667
46,0,0.008,1,-1.91082,979,30,41.041,42.02,0.106912,0.13,0,0.966667
47,0,0.008,1,-1.92444,948,30,42.032,42.98,0.0931605,0.13,0,0.966667
48,0,0.008,1,-1.92086,985,30,42.993,43.978,0.0967701,0.13,0,0.966667
49,0,0.008,1,-1.92856,984,30,43.996,44.98,0.0889955,0.13,0,0.966667
50,0,0.008,1,-1.88869,994,30,44.994,45.988,0.129271,0.13,0,0.966667
51,0,0.008,1,-1.89586,967,30,46.002,46.969,0.122024,0.13,0,0.966667
52,0,0.008,1,-1.85745,948,30,46.983,47.931,0.160822,0.13,0,0.966667
53,0,0.008,1,-1.85411,965,30,47.947,48.912,0.164195,0.13,0,0.966667
54,0,0.008,1,-1.8609,991,30,48.927,49.918,0.157344,0.13,0,0.966667
55,0,0.008,1,-1.95013,991,30,49.932,50.923,0.0672059,0.13,0,0.966667
56,0,0.008,1,-1.94487,957,30,50.936,51.893,0.0725181,0.13,0,0.966667
57,0,0.008,1,-1.96324,979,30,51.908,52.887,0.0539708,0.13,0,0.966667
58,0,0.008,1,-1.96805,926,30,52.901,53.827,0.0491088,0.13,0,0.966667
59,0,0.008,1,-1.96873,938,30,53.841,54.779,0.0484167,0.13,0,0.966667
60,0,0.008,1,-1.97451,916,30,54.793,55.709,0.0425834,0.13,0,0.966667
61,0,0.008,1,-1.97473,884,30,55.721,56.605,0.0423553,0.13,0,0.966667
62,0,0.008,1,-1.95384,896,30,56.617,57.513,0.0634622,0.13,0,0.966667
63,0,0.008,1,-1.95404,901,30,57.525,58.426,0.063264,0.13,0,0.966667
64,0,0.008,1,-1.95241,911,30,58.439,59.35,0.0649015,0.13,0,0.966667
65,0,0.008,1,-1.97484,908,30,59.33,60.238,0.0422464,0.13,0,0.966667
66,0,0.008,1,-1.95058,906,30,60.248,61.154,0.066757,0.13,0,0.966667
67,0,0.008,1,-1.97384,912,30,61.166,62.078,0.0432614,0.13,0,0.966667
68,0,0.008,1,-1.95335,855,30,62.089,62.944,0.0639551,0.13,0,0.966667
69,0,0.008,1,-1.92879,816,30,62.954,63.77,0.0887594,0.13,0,0.966667
70,0,0.008,1,-1.85907,785,30,63.777,64.562,0.15919,0.13,0,0.966667
71,0,0.008,1,-1.91685,814,30,64.57,65.384,0.100824,0.13,0,0.966667
72,0,0.008,1,-1.88869,829,30,65.394,66.223,0.129271,0.13,0,0.966667
73,0,0.008,1,-1.92556,830,30,66.204,67.034,0.0920271,0.13,0,0.966667
74,0,0.008,1,-1.92398,874,30,67.045,67.919,0.0936203,0.13,0,0.966667
75,0,0.008,1,-1.87044,823,30,67.929,68.752,0.147707,0.13,0,0.966667
76,0,0.008,1,-1.94086,849,30,68.765,69.614,0.0765768,0.13,0,0.966667
77,0,0.008,1,-1.93728,838,30,69.622,70.46,0.0801904,0.13,0,0.966667
78,0,0.008,1,-1.94298,875,30,70.47,71.345,0.0744356,0.13,0,0.966667
79,0,0.008,1,-1.93471,880,30,71.357,72.237,0.0827842,0.13,0,0.966667
80,0,0.008,1,-1.87846,892,30,72.248,73.14,0.139603,0.13,0,0.966667
81,0,0.008,1,-1.86058,907,30,73.153,74.06,0.157668,0.13,0,0.966667
82,0,0.008,1,-1.83762,905,30,74.071,74.976,0.180855,0.13,0,0.966667
83,0,0.008,1,-1.6929,905,30,74.988,75.893,0.327033,0.13,0,0.966667
84,0,0.008,1,-1.62954,887,30,75.904,76.791,0.391035,0.13,0,0.966667
85,0,0.008,1,-1.41551,900,30,76.804,77.704,0.607225,0.13,0,0.966667
86,0,0.008,1,-1.76798,1089,30,77.715,78.804,0.251202,0.13,0,0.966667
87,0,0.008,1,-1.85844,1552,30,78.834,80.386,0.159828,0.13,0,0.966667
88,0,0.008,1,-1.93348,2185,30,80.437,82.622,0.0840278,0.13,0,0.966667
89,0,0.008,1,-1.94144,1551,30,82.673,84.224,0.0759873,0.13,0,0.966667
90,0,0.008,1,-1.96766,1201,30,84.254,85.455,0.0494983,0.13,0,0.966667
91,0,0.008,1,-1.95754,905,30,85.468,86.373,0.0597271,0.13,0,0.966667
92,0,0.008,1,-1.96626,957,30,86.385,87.342,0.0509172,0.13,0,0.966667
93,0,0.008,1,-1.97269,962,30,87.357,88.319,0.044416,0.13,0,0.966667
94,0,0.008,1,-1.98056,911,30,88.334,89.245,0.0364719,0.13,0,0.966667
