# FrameAwareWebrtcTrace Bandwidth Statistics
# Bandwidth scale factor (μ): 1
# Loss rate (L): 0.01
# Total bandwidth changes: 9282
# Total packet arrivals: 9600
# Sent records created: 42517888
timestamp_ms,trace_bandwidth_bps,trace_bandwidth_mbps,trace_rtt_ms,trace_loss,original_bandwidth_bps,original_bandwidth_mbps,scaled_bandwidth_bps,scaled_bandwidth_mbps,scale_factor
35,2.85257e+06,2.85257,26,0.016,500000,0.5,500000,0.5,1
63,2.85257e+06,2.85257,26,0.016,500000,0.5,500000,0.5,1
113,2.85257e+06,2.85257,26,0.016,500000,0.5,500000,0.5,1
138,2.85257e+06,2.85257,26,0.016,501000,0.501,501000,0.501,1
168,2.85257e+06,2.85257,26,0.016,501000,0.501,501000,0.501,1
203,2.85257e+06,2.85257,26,0.016,557904,0.557904,557904,0.557904,1
238,2.85257e+06,2.85257,26,0.016,560055,0.560055,560055,0.560055,1
268,3.59926e+06,3.59926,29,0.015,560055,0.560055,560055,0.560055,1
303,3.59926e+06,3.59926,29,0.015,481881,0.481881,481881,0.481881,1
338,3.59926e+06,3.59926,29,0.015,483739,0.483739,483739,0.483739,1
368,3.59926e+06,3.59926,29,0.015,483739,0.483739,483739,0.483739,1
403,3.59926e+06,3.59926,29,0.015,485604,0.485604,485604,0.485604,1
438,3.59926e+06,3.59926,29,0.015,487476,0.487476,487476,0.487476,1
468,3.59926e+06,3.59926,29,0.015,487476,0.487476,487476,0.487476,1
503,3.59926e+06,3.59926,29,0.015,489355,0.489355,489355,0.489355,1
538,3.59926e+06,3.59926,29,0.015,491242,0.491242,491242,0.491242,1
568,3.59926e+06,3.59926,29,0.015,491242,0.491242,491242,0.491242,1
603,3.59926e+06,3.59926,29,0.015,493136,0.493136,493136,0.493136,1
638,3.59926e+06,3.59926,29,0.015,493136,0.493136,493136,0.493136,1
668,3.59926e+06,3.59926,29,0.015,493136,0.493136,493136,0.493136,1
703,3.59926e+06,3.59926,29,0.015,493136,0.493136,493136,0.493136,1
738,3.59926e+06,3.59926,29,0.015,493136,0.493136,493136,0.493136,1
768,2.16646e+06,2.16646,26,0.023,493136,0.493136,493136,0.493136,1
803,2.16646e+06,2.16646,26,0.023,494136,0.494136,494136,0.494136,1
838,2.16646e+06,2.16646,26,0.023,496041,0.496041,496041,0.496041,1
868,2.16646e+06,2.16646,26,0.023,496041,0.496041,496041,0.496041,1
903,2.16646e+06,2.16646,26,0.023,497953,0.497953,497953,0.497953,1
938,2.16646e+06,2.16646,26,0.023,499873,0.499873,499873,0.499873,1
968,2.16646e+06,2.16646,26,0.023,499873,0.499873,499873,0.499873,1
1003,2.16646e+06,2.16646,26,0.023,501800,0.5018,501800,0.5018,1
1038,2.16646e+06,2.16646,26,0.023,503735,0.503735,503735,0.503735,1
1068,2.16646e+06,2.16646,26,0.023,503735,0.503735,503735,0.503735,1
1103,2.16646e+06,2.16646,26,0.023,505677,0.505677,505677,0.505677,1
1138,2.16646e+06,2.16646,26,0.023,507627,0.507627,507627,0.507627,1
1168,2.16646e+06,2.16646,26,0.023,507627,0.507627,507627,0.507627,1
