frame_id,frame_type,deadline_time,first_packet_time,last_packet_time,frame_size,total_packets,packets_received,packets_before_deadline,delivery_ratio,missed_deadline,stall_duration_ms
0,1,0.133333,0.058,0.542,45000,30,30,5,16.6667,1,408
1,0,0.166667,0.56,1.032,45000,30,30,0,0,1,865
2,0,0.2,1.048,1.521,45000,30,30,0,0,1,1320
3,0,0.233333,1.54,2.014,45000,30,30,0,0,1,1780
4,0,0.266667,2.033,2.52,45000,30,30,0,0,1,2253
5,0,0.3,2.536,3.006,45000,30,30,0,0,1,2705
6,0,0.333333,3.022,3.502,45000,30,30,0,0,1,3168
7,0,0.366667,3.519,3.991,45000,30,30,0,0,1,3624
8,0,0.4,4.009,4.496,45000,30,30,0,0,1,4095
9,0,0.433333,4.497,5.383,45000,30,30,0,0,1,4949
10,0,0.466667,5.416,6.336,45000,30,30,0,0,1,5869
11,0,0.5,6.367,7.264,45000,30,30,0,0,1,6763
12,0,0.533333,7.298,8.208,45000,30,30,0,0,1,7674
13,0,0.566667,8.242,9.151,45000,30,30,0,0,1,8584
14,0,0.6,9.186,10.1,45000,30,30,0,0,1,9500
15,0,0.633333,10.134,11.033,45000,30,30,0,0,1,10399
16,0,0.666667,11.068,12.023,45000,30,30,0,0,1,11356
17,0,0.7,12.049,13.117,45000,30,30,0,0,1,12416
18,0,0.733333,13.16,14.269,45000,30,30,0,0,1,13535
19,0,0.766667,14.312,15.41,45000,30,30,0,0,1,14643
20,0,0.8,15.452,16.484,45000,30,30,0,0,1,15684
21,0,0.833333,16.519,17.516,45000,30,30,0,0,1,16682
22,0,0.866667,17.551,18.446,45000,30,30,0,0,1,17579
23,0,0.9,18.478,19.387,45000,30,30,0,0,1,18486
24,0,0.933333,19.419,20.347,45000,30,30,0,0,1,19413
25,0,0.966667,20.381,21.299,45000,30,30,0,0,1,20332
26,0,1,21.331,22.243,45000,30,30,0,0,1,21243
27,0,1.03333,22.278,23.25,45000,30,30,0,0,1,22216
28,0,1.06667,23.286,24.23,45000,30,30,0,0,1,23163
29,0,1.1,24.264,25.174,45000,30,30,0,0,1,24074
30,1,1.13333,25.208,26.136,45000,30,30,0,0,1,25002
31,0,1.16667,26.169,27.105,45000,30,30,0,0,1,25938
32,0,1.2,27.106,28.107,45000,30,30,0,0,1,26906
33,0,1.23333,28.144,29.165,45000,30,30,0,0,1,27931
34,0,1.26667,29.202,30.136,45000,30,30,0,0,1,28869
35,0,1.3,30.169,31.083,45000,30,30,0,0,1,29782
36,0,1.33333,31.116,32,45000,30,30,0,0,1,30666
37,0,1.36667,32.034,32.919,45000,30,30,0,0,1,31552
38,0,1.4,32.952,33.874,45000,30,30,0,0,1,32474
39,0,1.43333,33.907,34.846,45000,30,30,0,0,1,33412
40,0,1.46667,34.879,35.846,45000,30,30,0,0,1,34379
41,0,1.5,35.884,37.068,45000,30,30,0,0,1,35568
42,0,1.53333,37.109,38.068,45000,30,30,0,0,1,36534
43,0,1.56667,38.102,39.047,45000,30,30,0,0,1,37480
44,0,1.6,39.08,40.051,45000,30,30,0,0,1,38451
45,0,1.63333,40.087,41.027,45000,30,30,0,0,1,39393
46,0,1.66667,41.061,42.02,45000,30,30,0,0,1,40353
47,0,1.7,42.052,42.98,45000,30,30,0,0,1,41279
48,0,1.73333,43.013,43.978,45000,30,30,0,0,1,42244
49,0,1.76667,44.016,44.98,45000,30,30,0,0,1,43213
50,0,1.8,45.014,45.988,45000,30,30,0,0,1,44187
51,0,1.83333,46.022,46.969,45000,30,30,0,0,1,45135
52,0,1.86667,47.003,47.931,45000,30,30,0,0,1,46064
53,0,1.9,47.967,48.912,45000,30,30,0,0,1,47012
54,0,1.93333,48.947,49.918,45000,30,30,0,0,1,47984
55,0,1.96667,49.952,50.923,45000,30,30,0,0,1,48956
56,0,2,50.956,51.893,45000,30,30,0,0,1,49893
57,0,2.03333,51.928,52.887,45000,30,30,0,0,1,50853
58,0,2.06667,52.921,53.827,45000,30,30,0,0,1,51760
59,0,2.1,53.861,54.779,45000,30,30,0,0,1,52679
60,1,2.13333,54.813,55.709,45000,30,30,0,0,1,53575
61,0,2.16667,55.741,56.605,45000,30,30,0,0,1,54438
62,0,2.2,56.637,57.513,45000,30,30,0,0,1,55313
63,0,2.23333,57.545,58.426,45000,30,30,0,0,1,56192
64,0,2.26667,58.459,59.35,45000,30,30,0,0,1,57083
65,0,2.3,59.35,60.238,45000,30,30,0,0,1,57937
66,0,2.33333,60.268,61.154,45000,30,30,0,0,1,58820
67,0,2.36667,61.186,62.078,45000,30,30,0,0,1,59711
68,0,2.4,62.109,62.944,45000,30,30,0,0,1,60544
69,0,2.43333,62.974,63.77,45000,30,30,0,0,1,61336
70,0,2.46667,63.797,64.562,45000,30,30,0,0,1,62095
71,0,2.5,64.59,65.384,45000,30,30,0,0,1,62883
72,0,2.53333,65.414,66.223,45000,30,30,0,0,1,63689
73,0,2.56667,66.224,67.034,45000,30,30,0,0,1,64467
74,0,2.6,67.065,67.919,45000,30,30,0,0,1,65319
75,0,2.63333,67.949,68.752,45000,30,30,0,0,1,66118
76,0,2.66667,68.785,69.614,45000,30,30,0,0,1,66947
77,0,2.7,69.642,70.46,45000,30,30,0,0,1,67760
78,0,2.73333,70.49,71.345,45000,30,30,0,0,1,68611
79,0,2.76667,71.377,72.237,45000,30,30,0,0,1,69470
80,0,2.8,72.268,73.14,45000,30,30,0,0,1,70339
81,0,2.83333,73.173,74.06,45000,30,30,0,0,1,71226
82,0,2.86667,74.091,74.976,45000,30,30,0,0,1,72109
83,0,2.9,75.008,75.893,45000,30,30,0,0,1,72993
84,0,2.93333,75.924,76.791,45000,30,30,0,0,1,73857
85,0,2.96667,76.824,77.704,45000,30,30,0,0,1,74737
86,0,3,77.735,78.804,45000,30,30,0,0,1,75803
87,0,3.03333,78.854,80.386,45000,30,30,0,0,1,77352
88,0,3.06667,80.457,82.622,45000,30,30,0,0,1,79555
89,0,3.1,82.693,84.224,45000,30,30,0,0,1,81124
