# Rt Group Reward Records - Total groups: 3002
# Initial μ: 0.5, Initial loss rate: 0.01
# Hybrid loss enabled: 1
frame_id,Rt_value,loss_rate,mu_used,avg_reward,group_delay_ms,packet_count,group_start_time,group_end_time,bandwidth_utilization,p_delay,p_loss,p_mddl
0,2,0.008,0.5,-0.166875,28,2,0.036,0.064,0.0416667,0.1255,0,0
0,1,0.008,0.5,-0.075,20,1,0.065,0.085,0.0416667,0.124,0,0
0,0,0.008,0.5,-0.605249,456,27,0.086,0.542,0.0423215,0.129889,0,0.347148
1,0,0.00764,0.5,-1.22316,491,30,0.539,1.03,0.0412745,0.13,0,0.964018
2,0,0.00756,0.5,-1.22443,492,30,1.026,1.518,0.0426587,0.13,0,0.966667
3,0,0.00756,0.5,-1.22278,493,30,1.515,2.008,0.0443271,0.13,0,0.966667
4,0,0.0076,0.5,-1.23175,508,30,2.005,2.513,0.0352721,0.13,0,0.966667
5,0,0.0076,0.5,-1.23403,488,30,2.511,2.999,0.0329636,0.13,0,0.966667
6,0,0.00756,0.5,-1.23344,498,30,2.996,3.494,0.0335613,0.13,0,0.966667
7,0,0.0076,0.5,-1.23288,497,30,3.49,3.987,0.0341307,0.13,0,0.966667
8,0,0.00756,0.5,-1.23234,506,30,3.984,4.49,0.0346749,0.13,0,0.966667
9,0,0.008,0.5,-1.23807,867,30,4.47,5.337,0.0288838,0.13,0,0.966667
10,0,0.008,0.5,-1.24186,940,30,5.349,6.289,0.0250544,0.13,0,0.966667
11,0,0.008,0.5,-1.24827,977,30,6.302,7.279,0.0185802,0.13,0,0.966667
12,0,0.008,0.5,-1.25475,1117,30,7.299,8.416,0.0120389,0.13,0,0.966667
13,0,0.008,0.5,-1.25819,1075,30,8.434,9.509,0.00856286,0.13,0,0.966667
14,0,0.008,0.5,-1.25819,941,30,9.525,10.466,0.00856268,0.13,0,0.966667
15,0,0.008,0.5,-1.25787,938,30,10.48,11.418,0.00888219,0.13,0,0.966667
16,0,0.008,0.5,-1.25756,968,30,11.433,12.401,0.00919561,0.13,0,0.966667
17,0,0.008,0.5,-1.25724,936,30,12.415,13.351,0.00951688,0.13,0,0.966667
18,0,0.008,0.5,-1.25694,936,30,13.365,14.301,0.00982877,0.13,0,0.966667
19,0,0.008,0.5,-1.25662,933,30,14.316,15.249,0.0101497,0.13,0,0.966667
20,0,0.008,0.5,-1.25632,1004,30,15.263,16.267,0.0104504,0.13,0,0.966667
21,0,0.008,0.5,-1.25727,1107,30,16.282,17.389,0.00949253,0.13,0,0.966667
22,0,0.008,0.5,-1.25842,1007,30,17.409,18.416,0.00833333,0.13,0,0.966667
23,0,0.008,0.5,-1.25831,916,30,18.427,19.343,0.00844554,0.13,0,0.966667
24,0,0.008,0.5,-1.25795,917,30,19.353,20.27,0.00880487,0.13,0,0.966667
25,0,0.008,0.5,-1.25778,941,30,20.283,21.224,0.00897516,0.13,0,0.966667
26,0,0.008,0.5,-1.25794,948,30,21.237,22.185,0.00881646,0.13,0,0.966667
27,0,0.008,0.5,-1.2584,1023,30,22.201,23.224,0.00835102,0.13,0,0.966667
28,0,0.008,0.5,-1.25835,958,30,23.239,24.197,0.00840518,0.13,0,0.966667
29,0,0.008,0.5,-1.25805,923,30,24.21,25.133,0.00870147,0.13,0,0.966667
30,0,0.008,0.5,-1.25774,949,30,25.146,26.095,0.00901618,0.13,0,0.966667
