# FrameAwareWebrtcTrace Bandwidth Statistics
# Bandwidth scale factor (μ): 0.5
# Loss rate (L): 0.01
# Total bandwidth changes: 9382
# Total packet arrivals: 98681
# Sent records created: 25383289
timestamp_ms,trace_bandwidth_bps,trace_bandwidth_mbps,trace_rtt_ms,trace_loss,original_bandwidth_bps,original_bandwidth_mbps,scaled_bandwidth_bps,scaled_bandwidth_mbps,scale_factor
35,6e+06,6,30,0.01,500000,0.5,250000,0.25,0.5
63,6e+06,6,30,0.01,500000,0.5,250000,0.25,0.5
113,6e+06,6,30,0.01,500000,0.5,250000,0.25,0.5
138,6e+06,6,30,0.01,501000,0.501,250500,0.2505,0.5
168,6e+06,6,30,0.01,501000,0.501,250500,0.2505,0.5
203,6e+06,6,30,0.01,557904,0.557904,278952,0.278952,0.5
238,6e+06,6,30,0.01,559969,0.559969,279984,0.279984,0.5
268,6e+06,6,30,0.01,559969,0.559969,279984,0.279984,0.5
303,6e+06,6,30,0.01,481881,0.481881,240940,0.24094,0.5
338,6e+06,6,30,0.01,483739,0.483739,241869,0.241869,0.5
368,6e+06,6,30,0.01,483739,0.483739,241869,0.241869,0.5
403,6e+06,6,30,0.01,485604,0.485604,242802,0.242802,0.5
438,6e+06,6,30,0.01,487476,0.487476,243738,0.243738,0.5
468,6e+06,6,30,0.01,487476,0.487476,243738,0.243738,0.5
503,6e+06,6,30,0.01,489355,0.489355,244677,0.244677,0.5
538,6e+06,6,30,0.01,491242,0.491242,245621,0.245621,0.5
568,6e+06,6,30,0.01,491242,0.491242,245621,0.245621,0.5
603,6e+06,6,30,0.01,493136,0.493136,246568,0.246568,0.5
638,6e+06,6,30,0.01,493136,0.493136,246568,0.246568,0.5
668,6e+06,6,30,0.01,493136,0.493136,246568,0.246568,0.5
703,6e+06,6,30,0.01,493136,0.493136,246568,0.246568,0.5
738,6e+06,6,30,0.01,493136,0.493136,246568,0.246568,0.5
768,6e+06,6,30,0.01,493136,0.493136,246568,0.246568,0.5
803,6e+06,6,30,0.01,494136,0.494136,247068,0.247068,0.5
838,6e+06,6,30,0.01,496041,0.496041,248020,0.24802,0.5
868,6e+06,6,30,0.01,496041,0.496041,248020,0.24802,0.5
903,6e+06,6,30,0.01,497953,0.497953,248976,0.248976,0.5
938,6e+06,6,30,0.01,499873,0.499873,249936,0.249936,0.5
968,6e+06,6,30,0.01,499873,0.499873,249936,0.249936,0.5
1003,6e+06,6,30,0.01,501800,0.5018,250900,0.2509,0.5
1038,6e+06,6,30,0.01,503735,0.503735,251867,0.251867,0.5
1068,6e+06,6,30,0.01,503735,0.503735,251867,0.251867,0.5
1103,6e+06,6,30,0.01,505677,0.505677,252838,0.252838,0.5
1138,6e+06,6,30,0.01,507627,0.507627,253813,0.253813,0.5
1168,6e+06,6,30,0.01,507627,0.507627,253813,0.253813,0.5
1203,6e+06,6,30,0.01,509584,0.509584,254792,0.254792,0.5
1238,6e+06,6,30,0.01,511549,0.511549,255774,0.255774,0.5
1268,6e+06,6,30,0.01,511549,0.511549,255774,0.255774,0.5
1303,6e+06,6,30,0.01,513521,0.513521,256760,0.25676,0.5
1338,6e+06,6,30,0.01,515501,0.515501,257750,0.25775,0.5
1368,6e+06,6,30,0.01,515501,0.515501,257750,0.25775,0.5
1403,6e+06,6,30,0.01,517488,0.517488,258744,0.258744,0.5
1438,6e+06,6,30,0.01,519483,0.519483,259741,0.259741,0.5
1468,6e+06,6,30,0.01,519483,0.519483,259741,0.259741,0.5
1503,6e+06,6,30,0.01,521486,0.521486,260743,0.260743,0.5
1538,6e+06,6,30,0.01,523497,0.523497,261748,0.261748,0.5
1568,6e+06,6,30,0.01,523497,0.523497,261748,0.261748,0.5
1603,6e+06,6,30,0.01,525515,0.525515,262757,0.262757,0.5
1638,6e+06,6,30,0.01,527541,0.527541,263770,0.26377,0.5
1668,6e+06,6,30,0.01,527541,0.527541,263770,0.26377,0.5
1703,6e+06,6,30,0.01,529575,0.529575,264787,0.264787,0.5
1738,6e+06,6,30,0.01,531617,0.531617,265808,0.265808,0.5
1768,6e+06,6,30,0.01,531617,0.531617,265808,0.265808,0.5
1803,6e+06,6,30,0.01,533667,0.533667,266833,0.266833,0.5
